--------- beginning of system
09-17 11:10:23.585  1469  1501 E storaged: getDiskStats failed with result NOT_SUPPORTED and size 0
--------- beginning of main
09-17 11:10:23.669  4945  4945 I appproc : app_process main with argv: /system/bin com.android.commands.input.Input tap 952 795 
09-17 11:10:23.669  4945  4945 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
09-17 11:10:23.672  4945  4945 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:25.931  5546  5546 I sh      : type=1400 audit(0.0:1378): avc: denied { getattr } for path="/system/xbin/su" dev="sda2" ino=3773 scontext=u:r:shell:s0 tcontext=u:object_r:su_exec:s0 tclass=file permissive=1
09-17 11:10:25.931  5546  5546 I sh      : type=1400 audit(0.0:1379): avc: denied { execute } for name="su" dev="sda2" ino=3773 scontext=u:r:shell:s0 tcontext=u:object_r:su_exec:s0 tclass=file permissive=1
09-17 11:10:25.947  5549  5549 I sh      : type=1400 audit(0.0:1380): avc: denied { read open } for path="/system/xbin/su" dev="sda2" ino=3773 scontext=u:r:shell:s0 tcontext=u:object_r:su_exec:s0 tclass=file permissive=1
09-17 11:10:25.952  5378  5378 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:25.993  5561  5561 D su      : su invoked.
09-17 11:10:26.000  5409  5409 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.001  5562  5562 D su      : su invoked.
09-17 11:10:26.002  5432  5432 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.010  5565  5565 D su      : starting daemon client 2000 0
09-17 11:10:26.014  5434  5434 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.017  5567  5567 D su      : connecting client 5559
09-17 11:10:26.017  5564  5564 D su      : starting daemon client 2000 0
09-17 11:10:26.019  5569  5569 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.019  5276  5276 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.027  5367  5367 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.036  5572  5572 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.038  5570  5570 D su      : connecting client 5558
09-17 11:10:26.045  5573  5573 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.058  5577  5577 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.080  5576  5576 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.087  5374  5374 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.090  5584  5584 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.093  5423  5423 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.096  5591  5591 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.098  5407  5407 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.100  5378  5592 I chatty  : uid=0(root) /system/bin/app_process expire 2 lines
09-17 11:10:26.107  5599  5599 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.112  5601  5601 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.123  5595  5595 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.126  5615  5615 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.130  1905  1905 I chatty  : uid=1000(system) com.android.settings expire 90 lines
09-17 11:10:26.137  5606  5606 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.141  5623  5623 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.152  5626  5626 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.152  5390  5390 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.182  5639  5639 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.185  5642  5642 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.195  5645  5645 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.205  5648  5648 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.259  1423  1531 D AudioFlinger: mixer(0xf3483640) throttle end: throttle time(10)
09-17 11:10:26.274  5647  5647 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.284  5622  5622 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.291  5374  5677 I chatty  : uid=0(root) /system/bin/app_process expire 2 lines
09-17 11:10:26.298  5423  5681 I chatty  : uid=0(root) /system/bin/app_process expire 2 lines
09-17 11:10:26.308  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:26.308  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:26.308  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:26.308  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:26.308  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:26.328  5682  5682 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.333  5689  5689 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.342  5690  5690 D su      : client exited 0
09-17 11:10:26.348  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:26.348  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:26.348  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:26.348  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:26.348  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:26.348  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:26.348  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:26.348  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:26.348  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:26.348  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:26.348  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:26.348  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:26.371  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:26.371  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:26.371  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:26.371  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:26.371  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:26.371  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:26.371  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:26.371  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:26.371  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:26.371  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:26.371  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:26.371  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:26.375  1559  1567 W System  : A resource failed to call close. 
09-17 11:10:26.375  1559  1567 W System  : A resource failed to call close. 
09-17 11:10:26.386  5705  5705 D su      : su invoked.
09-17 11:10:26.389  5706  5706 D su      : starting daemon client 2000 0
09-17 11:10:26.392  5707  5707 D su      : connecting client 5704
09-17 11:10:26.394  5710  5710 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.398  5712  5712 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.403  5713  5713 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.405  5714  5714 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.409  5715  5715 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.412  5718  5718 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.413  5719  5719 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.416  5720  5720 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.420  5722  5722 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.423  5723  5723 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.425  5725  5725 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.512  5724  5724 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:26.605  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:26.606  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:26.606  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:26.606  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:26.606  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:26.606  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:26.606  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:26.606  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:26.606  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:26.606  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:26.606  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:26.606  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:26.858  5734  5734 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.862  5735  5735 I chatty  : uid=0(root) expire 1 line
09-17 11:10:26.862  5736  5736 D su      : client exited 1
09-17 11:10:27.079  1559  1571 W NotificationService: Toast already killed. pkg=com.android.settings callback=android.app.ITransientNotification$Stub$Proxy@2099b5c
09-17 11:10:27.085  1425  1443 D SurfaceFlinger: duplicate layer name: changing Toast to Toast#1
09-17 11:10:27.103  1905  1936 E EGL_emulation: tid 1936: eglSurfaceAttrib(1504): error 0x3009 (EGL_BAD_MATCH)
09-17 11:10:27.103  1905  1936 W OpenGLRenderer: Failed to set EGL_SWAP_BEHAVIOR on surface 0x763888860e00, error=EGL_BAD_MATCH
09-17 11:10:27.205  1425  2147 W SurfaceFlinger: Attempting to destroy on removed layer: 8d99f96 Toast#0
09-17 11:10:28.077  2027  4941 I gle.android.gm: Explicit concurrent copying GC freed 179082(9MB) AllocSpace objects, 40(2MB) LOS objects, 49% free, 15MB/31MB, paused 1.533ms total 119.951ms
09-17 11:10:28.512  3856  5738 I chatty  : uid=10065(com.netease.chiji) expire 28 lines
09-17 11:10:28.573  1559  1583 W WindowManager: Unable to start animation, surface is null or no children.
09-17 11:10:29.082  1559  2120 W NotificationService: Toast already killed. pkg=com.android.settings callback=android.app.ITransientNotification$Stub$Proxy@77f1163
09-17 11:10:29.105  1905  1936 E EGL_emulation: tid 1936: eglSurfaceAttrib(1504): error 0x3009 (EGL_BAD_MATCH)
09-17 11:10:29.105  1905  1936 W OpenGLRenderer: Failed to set EGL_SWAP_BEHAVIOR on surface 0x763870bc3980, error=EGL_BAD_MATCH
09-17 11:10:29.209  1425  1442 W SurfaceFlinger: Attempting to destroy on removed layer: 97a273a Toast#0
09-17 11:10:29.848  1559  1571 E memtrack: Couldn't load memtrack module
09-17 11:10:29.848  1559  1571 W android.os.Debug: failed to get memory consumption info: -1
09-17 11:10:30.582  1559  1583 W WindowManager: Unable to start animation, surface is null or no children.
09-17 11:10:30.655  3856  5745 I chatty  : uid=10065(com.netease.chiji) expire 19 lines
09-17 11:10:30.681  5749  5749 D su      : su invoked.
09-17 11:10:30.695  5752  5752 D su      : starting daemon client 2000 0
09-17 11:10:30.697  5758  5758 I chatty  : uid=0(root) expire 5 lines
09-17 11:10:30.699  5754  5754 D su      : connecting client 5748
09-17 11:10:30.708  5759  5759 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.716  5760  5760 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.721  5756  5756 I chatty  : uid=0(root) /system/xbin/su expire 1 line
09-17 11:10:30.721  5761  5761 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.726  5762  5762 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.730  5764  5764 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.733  5766  5766 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.737  5769  5769 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.740  5771  5771 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.801  5770  5770 I chatty  : uid=0(root) /system/bin/app_process expire 12 lines
09-17 11:10:30.814  5772  5772 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.826  5774  5774 D su      : client exited 0
09-17 11:10:30.828  5773  5773 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.851  1423  1531 D AudioFlinger: mixer(0xf3483640) throttle end: throttle time(9)
09-17 11:10:30.873  3856  5750 I chatty  : uid=10065(com.netease.chiji) expire 19 lines
09-17 11:10:30.910  5787  5787 D su      : su invoked.
09-17 11:10:30.919  5796  5796 D su      : su invoked.
09-17 11:10:30.927  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:30.927  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:30.927  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:30.927  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:30.927  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:30.927  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:30.927  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:30.927  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:30.927  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:30.927  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:30.927  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:30.927  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:30.938  5799  5799 D su      : starting daemon client 2000 0
09-17 11:10:30.953  5810  5810 D su      : connecting client 5795
09-17 11:10:30.963  5822  5822 D su      : su invoked.
09-17 11:10:30.968  5829  5829 D su      : su invoked.
09-17 11:10:30.972  5832  5832 D su      : starting daemon client 2000 0
09-17 11:10:30.973  5816  5816 D su      : su invoked.
09-17 11:10:30.977  5794  5794 D su      : starting daemon client 2000 0
09-17 11:10:30.982  5836  5836 D su      : connecting client 5828
09-17 11:10:30.985  5849  5849 D su      : su invoked.
09-17 11:10:30.985  5835  5835 D su      : su invoked.
09-17 11:10:30.989  5850  5850 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.989  5826  5826 D su      : starting daemon client 2000 0
09-17 11:10:30.990  5809  5809 D su      : su invoked.
09-17 11:10:30.993  5817  5817 I chatty  : uid=0(root) expire 1 line
09-17 11:10:30.994  5839  5839 D su      : starting daemon client 2000 0
09-17 11:10:30.996  5863  5863 D su      : starting daemon client 2000 0
09-17 11:10:30.997  5851  5851 D su      : starting daemon client 2000 0
09-17 11:10:30.998  5845  5845 D su      : connecting client 5786
09-17 11:10:31.000  5868  5868 D su      : su invoked.
09-17 11:10:31.002  5869  5869 D su      : su invoked.
09-17 11:10:31.005  5871  5871 D su      : connecting client 5841
09-17 11:10:31.006  5866  5866 D su      : connecting client 5815
09-17 11:10:31.009  5874  5874 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.012  5879  5879 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.017  5876  5876 D su      : starting daemon client 2000 0
09-17 11:10:31.019  5882  5882 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.025  5883  5883 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.026  5875  5875 D su      : starting daemon client 2000 0
09-17 11:10:31.027  5894  5894 D su      : su invoked.
09-17 11:10:31.029  5853  5853 D su      : starting daemon client 2000 0
09-17 11:10:31.032  5897  5897 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.032  5896  5896 D su      : su invoked.
09-17 11:10:31.036  5900  5900 D su      : connecting client 5834
09-17 11:10:31.036  5891  5891 D su      : connecting client 5864
09-17 11:10:31.042  5910  5910 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.055  5858  5858 D su      : connecting client 5820
09-17 11:10:31.059  5907  5907 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.062  5901  5901 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.062  5925  5925 D su      : su invoked.
09-17 11:10:31.063  5861  5861 D su      : su invoked.
09-17 11:10:31.068  5880  5880 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.069  5898  5898 D su      : connecting client 5857
09-17 11:10:31.071  5927  5927 D su      : su invoked.
09-17 11:10:31.071  5928  5928 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.073  5916  5916 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.073  5902  5902 D su      : starting daemon client 2000 0
09-17 11:10:31.077  5899  5899 D su      : starting daemon client 2000 0
09-17 11:10:31.081  5933  5933 D su      : su invoked.
09-17 11:10:31.084  5929  5929 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.088  5938  5938 D su      : starting daemon client 2000 0
09-17 11:10:31.094  5934  5934 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.094  5941  5941 D su      : connecting client 5895
09-17 11:10:31.095  5943  5943 D su      : starting daemon client 2000 0
09-17 11:10:31.104  5944  5944 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.105  5953  5953 D su      : connecting client 5844
09-17 11:10:31.107  5945  5945 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.108  5952  5952 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.109  5942  5942 D su      : connecting client 5889
09-17 11:10:31.114  5956  5956 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.114  5957  5957 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.115  5887  5887 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.119  5958  5958 I chatty  : uid=0(root) /system/bin/log expire 1 line
09-17 11:10:31.120  1559  1574 W ProcessCpuTracker: Skipping unknown process pid 5899
09-17 11:10:31.120  5939  5939 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.121  5870  5870 D su      : connecting client 5806
09-17 11:10:31.122  5961  5961 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.123  5960  5960 I chatty  : uid=0(root) expire 1 line
09-17 11:10:31.124  1559  1574 W ProcessCpuTracker: Skipping unknown process pid 5902
